fold_start,fold_end,smart_apr,smart_return,smart_dd,smart_sharpe,smart_trades,smart_2x_buys,smart_cb,dca_return,dca_cb,bh_return,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct
2019-01-31,2019-07-31,581.0166039752357,158.00799589587336,34.40887172331592,3.031720459446708,49,9,3708.5926119365813,161.03057370282005,3665.649329221326,174.89981854276851,-1.157940146271097,-6.14471946050672,-1.1715054785226189
2019-03-31,2019-09-30,79.94885331064603,34.091047094834394,43.26956412115099,1.1755474516885935,67,0,5995.175578213295,59.149669695305505,5051.2160806810225,96.23527033327555,-15.74531863524834,-31.6682231144782,-18.687767113003897
2019-05-31,2019-11-30,-34.396810984806,-19.00420442072688,48.6856670397319,-0.31746754193480176,53,7,9549.923099933598,-14.08235478808406,9002.849383175635,-6.911545417566267,-5.728566722822837,-12.990503556434108,-6.076672989557333
2019-07-31,2020-01-31,-14.971796165604323,-7.830225613486341,39.079804331654664,-0.04702027545186442,50,9,10315.205974282111,-10.312599490195629,10600.710935936506,-1.8977397120339634,2.7678066959226033,-6.047246907500769,2.693262398906948
2019-09-30,2020-03-30,-50.92425880553753,-29.814873878272607,60.48357548141819,-0.3981124065455845,44,12,8374.838762568479,-28.783759289692334,8253.582454471303,-26.605168350483677,-1.4478643892123277,-4.373203746983578,-1.4691354786367508
2019-11-30,2020-05-30,65.86354513437307,28.631896164878622,60.48357548141819,1.0205903704685717,45,11,7324.321602103852,29.85746647256793,7255.1960344846675,21.405121161396877,-0.9437811632865944,5.952611334965363,-0.9527732578227156
2020-01-30,2020-07-30,65.94826509039034,28.642269489761716,50.97899643156306,1.0301969278666163,45,11,8623.813716908135,14.943598221447306,9651.576819986834,19.568041977562658,11.91773311456885,7.589174634056373,10.648654849333745
2020-03-30,2020-09-30,88.99488045890433,37.785439217903985,19.928350326650055,1.6419415546444367,59,4,7862.932232531739,55.55476897471543,6964.7338898115095,83.56385969549403,-11.423198320393347,-24.938689213404995,-12.896377046568508
2020-05-30,2020-11-30,274.9105296306188,94.59240033288062,19.928350326650058,3.1419576503768107,43,12,9339.56258050695,91.29644350252337,9500.479294462304,93.95739024176804,1.7229577142210628,0.32739669796599813,1.6937746924952497
2020-07-30,2021-01-30,832.1107523616604,207.64782788346574,28.768713756626894,3.480023347903638,49,9,11126.894317929862,195.2039960020232,11595.929981843947,207.97372120139048,4.2153331424948925,-0.10581854732716334,4.044830079592289
2020-09-30,2021-03-30,1881.731195928236,338.53830772434117,28.768713756626894,3.95295383823871,61,3,13134.745061817288,398.05796826624623,11565.097315581626,432.889099884635,-11.950348018543844,-17.70552112638818,-13.572283080756087
2020-11-30,2021-05-30,80.23940555101137,33.811595851358334,50.07995074427129,1.1025509944892151,58,5,25845.582880886726,66.21121339998288,20807.49319047061,87.6493091008137,-19.493039540392342,-28.690600305131586,-24.212862377498958
2021-01-30,2021-07-30,-25.035835957827757,-13.295596697673117,54.72246732053977,0.06478252640518682,53,7,46125.07391643248,-9.175685256795296,44032.779355477796,16.76599517081705,-4.536132700286699,-25.745159645591198,-4.751674983001938
2021-03-30,2021-09-30,-44.4184988010157,-25.571854578973984,49.795631657403696,-0.3361990635487952,47,10,55757.6239435309,-27.38347529739483,57148.65259933212,-27.852799672325013,2.4947774984277915,3.1615157386447823,2.4340532847794076
2021-05-30,2021-11-30,174.39561616822107,66.22252532105418,23.13156097005579,1.9633851218954324,43,12,34737.520765295645,61.638689976671216,35722.625726757426,70.5507724639244,2.8358528178151765,-2.5378056518540637,2.757649924719572
2021-07-30,2022-01-30,-30.925187724597702,-16.99398171351222,51.75124636311992,-0.3456405923836499,53,7,45953.22204752628,-14.528196166159802,44627.512448611706,-4.414185394272064,-2.8849110896805086,-13.160735587314143,-2.970610563250911
2021-09-30,2022-03-30,-32.155002004561176,-17.5005013308966,50.22554494509156,-0.3678652467997629,53,7,57462.5784214056,-15.128214248404293,55856.41765421288,11.99385750947155,-2.7951421800356147,-26.335693310567276,-2.875516967693644
2021-11-30,2022-05-30,-64.5666628850554,-40.219745535545016,46.153442654336686,-1.359804129047854,39,14,49264.459316597684,-40.97890600884681,49898.124803336264,-48.965939642381976,1.2862527987292038,17.137954623928685,1.2699184372880736
2022-01-30,2022-07-30,-64.31833026727824,-40.01234971319014,62.8754795346104,-1.2129675827739388,46,11,39607.29522893858,-40.82120937882509,40148.65038742203,-37.17155959906337,1.3668066838552928,-4.521503471991983,1.3483769772073035
2022-03-30,2022-09-30,-76.65279922080309,-51.96905694511329,56.60756373908518,-1.8377510626786226,38,15,40764.877490799,-53.38390640285222,42002.13613608757,-58.55716358547248,3.035109440885231,15.896852653767146,2.9457040977150046
2022-05-30,2022-11-30,-46.47517297065959,-27.027015284886936,37.19521689785423,-0.8705829333343208,44,12,22518.83288884676,-33.04462130313808,24542.71008815932,-43.95877944074269,8.987487092703406,30.213053868004724,8.24634766104737
2022-07-30,2023-01-30,23.81195847403341,11.368536555369824,30.22204329125709,0.696956126197871,49,9,21305.887061021913,4.386583708929104,22730.94278682706,-0.8015763516318608,6.688553833612532,12.26845393243494,6.269232821398815
2022-09-30,2023-03-30,125.22003665931348,49.559564030230874,22.57756166824623,2.007544646672613,47,10,18943.349443217994,45.15176456360328,19518.598981678613,44.95310055844486,3.0366833499265944,3.1778992336412237,2.947186624411847
2022-11-30,2023-05-30,168.44650842646493,63.16142674959111,21.740843715487816,2.4370388181504095,47,10,16989.161416529147,63.23040359022853,16981.982247368163,64.55074737084551,-0.04225734858230856,-0.8443113406974345,-0.04227521296635384
2023-01-30,2023-07-30,68.72600920166076,29.607895370607885,19.453140578104094,1.4613930149776577,43,12,22633.874407201103,25.985007251721726,23284.74546291628,23.509566623988533,2.8756502046688004,4.937535539400795,2.7952680726176062
2023-03-30,2023-09-30,-10.142249658643887,-5.248323465103077,20.835752440754153,-0.17772185014659256,49,9,28380.306087878187,-6.484861386982033,28755.575004041773,-5.074944661677816,1.3222863594267498,-0.182648093074389,1.3050301241092899
2023-05-30,2023-11-30,80.68311644596879,34.74560602509793,20.399581514035077,1.9638807970710785,51,8,28076.557248889705,38.261642663950866,27362.561652729433,36.53028366032649,-2.5430311481245527,-1.307166137344784,-2.6093887159466678
2023-07-30,2024-01-30,143.65589654790566,56.667155089991695,20.183721965394323,2.4671652300154836,39,14,27623.351145389264,54.09122276392584,28085.128798219575,47.456366676286564,1.6716930918332151,6.2464501339069,1.6442069970481494
2023-09-30,2024-03-30,369.04465710574914,116.11635051302534,20.183721965394337,3.674939757535347,65,1,32301.410564395323,141.74867480852208,28876.530442738604,159.16373847597137,-10.602880994404185,-16.61011228503222,-11.860428067866968
2023-11-30,2024-05-30,152.81744526075335,58.80044999327359,22.685445996628044,2.1738819154759152,55,6,42576.59757945514,60.300070144116404,42178.29005764888,78.96698146639368,-0.9355081064497339,-11.268297262367888,-0.9443425071567759
2024-01-30,2024-07-30,38.44544170067634,17.610419271350743,25.499834263300375,0.9482119975250332,61,3,56750.60049909934,39.0532717306435,47999.31591346467,54.637385335533416,-15.420602616836765,-23.944381873659637,-18.23210272707194
HOLDOUT 2024-09-01,2026-05-22,16.32659194278294,29.719084942617478,50.08379415223316,0.5619379629697756,44,12,59797.639431632895,29.391511260253587,59949.02596970257,31.628967737994216,0.2531647394588443,-1.450959335317692,0.25252543410160183
