fold,start,end,n_hours,dyn_apr,dyn_return,dyn_dd,dyn_sharpe,dyn_rebalances,dyn_trade_cost,dyn_avg_pos,dyn_halt,funding_apr,smart_apr,best_cousin_apr,dyn_minus_best_apr
in_sample_70pct,2019-05-30,2024-05-11,15052,-11.296421690960845,-18.614114955476,18.921724415263686,-16.79601656465508,1288,2743.5983538187447,0.23506716377564585,False,6.691089536846095,10.171643092280625,10.171643092280625,-21.46806478324147
out_sample_30pct,2024-05-11,2026-05-21,6434,-11.932198202622835,-8.910233836072434,8.910233836072438,-22.465803841076156,622,1120.6885900910638,0.21810596796322546,False,5.883426178433071,6.2859033409933485,6.2859033409933485,-18.218101543616186
q_2019-05-30,2019-05-30,2019-08-29,736,3.285483251257615,0.2719720811816595,0.5030323164846453,3.7161231561248504,60,158.83985074914284,0.2744625800094443,False,62.29287424101311,63.334746853260285,63.334746853260285,-60.04926360200267
q_2019-08-29,2019-08-29,2019-11-28,736,-17.794212014817468,-1.632814144414152,1.6184319208116562,-24.57953093767351,103,221.0051868329745,0.3561796742489785,False,10.204165380378294,13.089669775205826,13.089669775205826,-30.883881790023295
q_2019-11-28,2019-11-28,2020-02-27,736,-5.574076061224165,-0.4807236379069768,0.607094653869699,-13.178213453525467,47,78.67285615293564,0.16810959269792264,False,3.7549254924427844,4.943113851620695,4.943113851620695,-10.51718991284486
q_2020-02-27,2020-02-27,2020-05-28,736,-21.98784589569329,-2.064609115674687,2.0646091156746844,-31.17885845416288,74,169.36434946863497,0.3013566637596419,False,-30.897814429792426,2.155332849115066,2.155332849115066,-24.143178744808356
q_2020-05-28,2020-05-28,2020-08-27,736,-10.097611699117316,-0.890350814291252,0.8599429276546944,-21.486062280408387,64,110.0074637697555,0.17178415252910187,False,4.651733817314607,4.734384655286816,4.734384655286816,-14.831996354404133
q_2020-08-27,2020-08-27,2020-11-26,734,-6.892561155996502,-0.5966083847311121,0.6704875841986759,-9.894169197024125,59,138.6071376885807,0.27262413694375226,False,14.913538244176493,15.35515445236979,15.35515445236979,-22.247715608366292
q_2020-11-26,2020-11-26,2021-02-25,736,-11.65923572261416,-1.036156590098558,1.0829632182232514,-12.687044293374546,78,237.62047490582748,0.3151021043095406,False,37.36096383019441,37.468533331761414,37.468533331761414,-49.12776905437558
q_2021-02-25,2021-02-25,2021-05-27,736,-13.209856672432508,-1.1832900384984524,1.2191491498015306,-14.230096090746274,89,237.2281325271354,0.442918949539295,False,22.235239858390244,26.14509955974107,26.14509955974107,-39.35495623217358
q_2021-05-27,2021-05-27,2021-08-26,736,-11.753358709743022,-1.0450199181833653,1.027821063464187,-22.99835189829727,71,126.67589411358094,0.22306234496062632,False,2.8308718722890758,4.2542285336210295,4.2542285336210295,-16.00758724336405
q_2021-08-26,2021-08-26,2021-11-25,736,-9.588165445447583,-0.8432864406234475,0.8432864406234512,-18.569619068806446,65,119.39523742044605,0.24025690033770597,False,6.36518758553295,7.035372717863142,7.035372717863142,-16.623538163310727
q_2021-11-25,2021-11-25,2022-02-24,736,-9.315523608446686,-0.818198559278771,0.8181985592787714,-21.235082174851758,51,91.05775075553447,0.15037582927239165,False,0.6493355216829144,2.0645274579323525,2.0645274579323525,-11.380051066379039
q_2022-02-24,2022-02-24,2022-05-26,736,-4.6798833618442615,-0.4018840230406773,0.40188402304067494,-15.141584486217177,27,47.14250948828075,0.07738168541799015,False,1.5624246039249279,1.7252174033909107,1.7252174033909107,-6.405100765235172
q_2022-05-26,2022-05-26,2022-08-25,736,-6.103854180023616,-0.5277565871944168,0.5277565871944171,-18.82421785055907,37,58.290624312547166,0.10011874809711069,False,1.5856365352799662,1.937321189982022,1.937321189982022,-8.041175370005638
q_2022-08-25,2022-08-25,2022-11-24,736,-17.984602979909127,-1.6519756220398252,1.6519756220398265,-27.613324202387133,52,120.10473940872431,0.1971824228523038,False,-18.04784541830361,0.02233556011828064,0.02233556011828064,-18.006938540027406
q_2022-11-24,2022-11-24,2023-02-23,736,-12.154541631229698,-1.0828956949053503,1.0828956949053463,-19.162270544206777,55,133.25165621159792,0.2118468479854765,False,3.388520579519838,6.74297140425828,6.74297140425828,-18.89751303548798
q_2023-02-23,2023-02-23,2023-05-25,736,-4.713947559620935,-0.4048749755931058,0.40487497559310215,-13.6267095856813,25,45.67282329162392,0.08155372328289363,False,0.7543494437359133,1.0925385729863457,1.0925385729863457,-5.80648613260728
q_2023-05-25,2023-05-25,2023-08-24,736,-11.166739641908595,-0.9899200277825759,0.9917198717306384,-21.26483959438029,68,131.06011531324134,0.25140588346338194,False,8.087016254325373,8.776765997229386,8.776765997229386,-19.94350563913798
q_2023-08-24,2023-08-24,2023-11-23,736,-8.964806568296279,-0.78602777947131,0.7860277794713146,-18.263268802445555,63,112.97027696063218,0.23608406541809887,False,6.084496723366417,6.332303696588126,6.332303696588126,-15.297110264884406
q_2023-11-23,2023-11-23,2024-02-22,736,-13.498519602961778,-1.2109458980423593,1.210945898042355,-19.891409857094835,91,194.62374984816617,0.36043430354409567,False,16.907444831457386,16.92194870954815,16.92194870954815,-30.42046831250993
q_2024-02-22,2024-02-22,2024-05-23,736,-8.384856277090957,-0.7330779997277936,0.7728230086619002,-12.499764384196192,77,158.6035326956001,0.32624353652201177,False,16.580804737212816,16.710514525569465,16.710514525569465,-25.095370802660423
q_2024-05-23,2024-05-23,2024-08-22,736,-10.333442014545046,-0.9122203906287374,0.9144566418757861,-20.833581290608148,59,109.01589063490123,0.1887315958068276,False,4.2572274834277835,4.776912838252101,4.776912838252101,-15.110354852797148
q_2024-08-22,2024-08-22,2024-11-21,736,-11.832221208382077,-1.0524528736119865,1.052452873611983,-18.489989317571762,77,165.44092866398356,0.2911843845663782,False,13.635369847142265,13.879137384902474,13.879137384902474,-25.71135859328455
q_2024-11-21,2024-11-21,2025-02-20,736,-14.001457376029169,-1.2593333192366107,1.2593333192366118,-24.68759516858213,86,159.84555738037614,0.24023503769471463,False,8.69541662021418,8.799116884805546,8.799116884805546,-22.800574260834715
q_2025-02-20,2025-02-20,2025-05-22,736,-13.861170845852,-1.245810401739944,1.2020089942493881,-26.32747969479163,83,147.41305513292585,0.23754091555058723,False,5.759216841383852,5.789328549878792,5.789328549878792,-19.65049939573079
q_2025-05-22,2025-05-22,2025-08-21,736,-11.13477479183489,-0.9869272213493208,0.9911115558292658,-22.96040958571987,73,126.65110250371106,0.22713733604246963,False,7.653158854589703,7.972915502764222,7.972915502764222,-19.10769029459911
q_2025-08-21,2025-08-21,2025-11-20,736,-11.000684952224205,-0.9743833864114815,1.028722289951378,-22.416986183117036,70,120.5432651824195,0.2082670806774291,False,4.387858667126698,5.137758519085378,5.137758519085378,-16.138443471309582
q_2025-11-20,2025-11-20,2026-02-19,736,-11.085002467018679,-0.9822690983705584,0.9822690983705615,-25.12806505810258,61,103.30355194565975,0.15469140682811142,False,0.7728163683219158,1.6694536256359083,1.6694536256359083,-12.754456092654587
q_2026-02-19,2026-02-19,2026-05-21,761,-6.915472733222316,-0.6206112039478295,0.6216230188058216,-22.384446306661477,44,63.33862351840306,0.10177568319878723,False,0.08307073023643419,0.6893325960567909,0.6893325960567909,-7.604805329279107
